name,url,thumbnail,rating,total_ratings,price,currency,currency_symbol,is_sponsored,past_month_bought
"Robot Vacuum and Mop Combo, Tangle-Free Powerful Suction, Robotic Vacuum Cleaner - Alexa & App Scheduling, Long Runtime, Automatic Robot Vacuum Cleaners for Home ",https://www.amazon.com/MANVINS-Robot-Vacuum-Tangle-Free-Powerful/dp/B0DB5SF3V7,https://m.media-amazon.com/images/I/716bWsVPH1L._AC_UY218_.jpg,4.4,117,139.99,USD,$,False,500+
"eufy L50 Robot Vacuum with 4,000 Pa Powerful Suction, Precise iPath Laser Navigation, Customizable Al Mapping, Climb Up to 20 mm, Ideal for Hard Floor, Tile, and Carpet ",https://www.amazon.com/eufy-Powerful-Suction-Navigation-Customizable/dp/B0CXDD7FFK,https://m.media-amazon.com/images/I/61FWP+Cz5fL._AC_UY218_.jpg,4.3,124,159.97,USD,$,False,600+
"Robot Vacuum Cleaner with 3000Pa Cyclone Suction, APP/Voice/Remote Control, Automatic Self-Charging Robotic Vacuum, Scheduled Cleaning, Ideal for Pet Hair, Hard Floor, Low Carpet ",https://www.amazon.com/ROPVACNIC-Automatic-Self-Charging-Scheduled-Cleaning/dp/B0D9N9BZPH,https://m.media-amazon.com/images/I/61s8xfbyjAL._AC_UY218_.jpg,4.3,169,149.99,USD,$,False,100+
"D60+ Robot Vacuum Cleaner with Self-Empty Base, Stores up to 85 Days of Dust, Powerful 9000Pa Suction, Wi-Fi/App/Alexa Control, Robotic Vacuum Ideal for Hard Floors,Pet Hair and Low Carpets ",https://www.amazon.com/Enboya-D60-Cleaner-Self-Empty-Powerful/dp/B0CPXXTWDB,https://m.media-amazon.com/images/I/71BI+ZPEoPL._AC_UY218_.jpg,3.2,61,430.99,USD,$,False,Sold
"SereneLife Robot Automatic Vacuum Cleaner - Upgraded Lithium Battery 90 Min Run Time - Bot Self Detects Stairs Pet Hair Allergies Friendly Home Cleaning for Carpet Hardwood Floor - PUCRC26B, Black ",https://www.amazon.com/PureClean-Automatic-Robot-Vacuum-Cleaner/dp/B076X9SH6D,https://m.media-amazon.com/images/I/51UO1hS8KWL._AC_UY218_.jpg,3.1,1681,119.99,USD,$,False,Sold
"RS1 Robot Vacuum, Brushless Tangle-free,140min Runtime, Automatic Recharge, 4 Cleaning Mode & Schedule Clean Robotic Vacuum Cleaner, Remote/APP/Alexa/Google Control, Idea for Pet Hair,Carpet,Hardfloor ",https://www.amazon.com/RS1-Robot-Vacuum-Brushless-Tangle-free/dp/B0D6YPXFGX,https://m.media-amazon.com/images/I/71wQKyGRFiL._AC_UY218_.jpg,4.1,106,109.99,USD,$,False,600+
"Lefant M210 Pro Robot Vacuum, 2200Pa Strong Suction, WiFi/APP/Alexa, 120 Min Runtime, Self-Charging Robotic Vacuum Cleaner, Slim, Quiet, 6 Cleaning Modes Ideal for Pet Hair, Hard Floors ",https://www.amazon.com/Lefant-Suction-Runtime-Self-Charging-Cleaning/dp/B0CRNSH6TB,https://m.media-amazon.com/images/I/61p+JY6Q91L._AC_UY218_.jpg,4.1,1060,98.1,USD,$,False,50+
"Lefant M210 Pro Robot Vacuum Cleaner, 2200Pa Powerful Suction, 120 Mins Runtime, Automatic Self-Charging, Wi-Fi/App/Alexa Control, Ideal for Pet Hair, Hard Floor and Low-Pile Carpet ",https://www.amazon.com/Lefant-Powerful-Automatic-Self-Charging-Low-Pile/dp/B0CQT91DDS,https://m.media-amazon.com/images/I/61dygYT2G1L._AC_UY218_.jpg,4.0,1616,209.99,USD,$,False,100+
"iRobot Roomba Combo i5+ Self-Emptying Robot Vacuum and Mop, Clean by Room with Smart Mapping, Empties Itself for Up to 60 Days, Works with Alexa, Personalized Cleaning OS ",https://www.amazon.com/iRobot-Self-Emptying-Mapping-Personalized-Cleaning/dp/B0C4N37V2Z,https://m.media-amazon.com/images/I/813GaWpuEQL._AC_UY218_.jpg,4.0,19190,499.0,USD,$,False,2K+
"Tikom Robot Vacuum and Mop, G8000 Robot Vacuum Cleaner, 2700Pa Strong Suction, Self-Charging, Good for Hard Floors, Black ",https://www.amazon.com/Tikom-G8000-Cleaner-Suction-Self-Charging/dp/B09KV5F5FK,https://m.media-amazon.com/images/I/714hksaF5dL._AC_UY218_.jpg,4.1,5334,149.99,USD,$,False,500+
"Robot Vacuum and Mop Combo, Robot Vacuum Cleaner, 6 Cleaning Modes, Large Capacity Water Tank Dustbin, Self-Charging, WiFi/App/Alexa, Ideal for Hard Floor, Carpet, Pet Hair ",https://www.amazon.com/betboyles-Cleaner-Cleaning-Capacity-Self-Charging/dp/B0D8XXJDBB,https://m.media-amazon.com/images/I/81NAhqpYO9L._AC_UY218_.jpg,4.6,5,169.99,USD,$,False,300+
"OKP K3 Robot Vacuum Cleaner Self-Charging Robotic Vacuum Cleaner with 2000Pa Strong Suction Voice Control for Hardfloor and Carpet,Blue ",https://www.amazon.com/OKP-Cleaner-WiFi-Connected-Self-Charging-Hardfloor/dp/B0915YCWD3,https://m.media-amazon.com/images/I/81L27fi5fYL._AC_UY218_.jpg,3.9,3238,89.98,USD,$,False,300+
"Robot Vacuum Cleaner Robot Vacuum and Mop Combo with 4000Pa Suction, Personalized Cleaning Adjustments, Self-Charging Robotic Vacuum Cleaner, Advanced Obstacle Avoidance ",https://www.amazon.com/ROPVACNIC-Personalized-Adjustments-Self-Charging-Avoidance/dp/B0CWLLBR54,https://m.media-amazon.com/images/I/611nS4G21fL._AC_UY218_.jpg,4.3,158,149.99,USD,$,False,1K+
"Shark EZ Robot Vacuum RV912S with Self-Empty Base, Bagless, WiFi - Dark Gray (Renewed) ",https://www.amazon.com/Shark-Vacuum-RV912S-Self-Empty-Bagless/dp/B0BMNDSXX3,https://m.media-amazon.com/images/I/71Q3n6DjMwL._AC_UY218_.jpg,4.1,453,199.99,USD,$,False,50+
"Shark RV2300 Matrix Robot Vacuum with No Spots Missed on Carpets & Hard Floors, Precision Home Mapping, Perfect for Pet Hair, Wi-Fi, Gray (Renewed) ",https://www.amazon.com/Shark-Carpets-Precision-Mapping-Perfect/dp/B0CQTT4SP1,https://m.media-amazon.com/images/I/41lCewVX5pL._AC_UY218_.jpg,4.0,5,89.95,USD,$,False,Sold
"AIRROBO Robot Vacuum and Mop, 3000Pa Strong Suction Power Vacuum Mop Robot, Wi-Fi/App/Alexa, Self-Charging Robotic Vacuum for Hard Floor, Pet Hair and Low-Piled Carpet, Slim Design, Quiet，P30 ",https://www.amazon.com/AIRROBO-Suction-Self-Charging-Low-Piled-Quiet%EF%BC%8CP30/dp/B0CWRFC34K,https://m.media-amazon.com/images/I/61TBO7xGUiL._AC_UY218_.jpg,3.8,375,109.98,USD,$,False,1K+
