"position.page","position.position","position.global_position","asin","price.discounted","price.current_price","price.currency","price.before_price","price.savings_amount","price.savings_percent","reviews.total_reviews","reviews.rating","url","score","sponsored","amazonChoice","bestSeller","amazonPrime"
4,15,93,"B09DJ2KY2D",true,99.99,"USD",149.99,50,33.34,0,4.3,"https://www.amazon.com/dp/B09DJ2KY2D",0,false,false,false,false
4,16,94,"B07F6MXJ9X",false,159.99,"USD",0,0,0,0,4.5,"https://www.amazon.com/dp/B07F6MXJ9X",0,false,false,false,false
4,17,95,"B0B76MQSZG",true,119.99,"USD",149.99,30,20,0,4.2,"https://www.amazon.com/dp/B0B76MQSZG",0,false,false,false,false
4,18,96,"B09DJJQGCN",true,91.72,"USD",129.99,38.27,29.44,0,4.2,"https://www.amazon.com/dp/B09DJJQGCN",0,false,false,false,false
4,19,97,"B075PL2GDD",false,79,"USD",0,0,0,0,4.3,"https://www.amazon.com/dp/B075PL2GDD",0,false,false,false,false
4,20,98,"B0D26672VN",true,159.99,"USD",229.99,70,30.44,0,4.2,"https://www.amazon.com/dp/B0D26672VN",0,false,false,false,false
4,21,99,"B085WPWTM1",true,139.99,"USD",209.99,70,33.33,0,4,"https://www.amazon.com/dp/B085WPWTM1",0,false,false,false,false
4,22,100,"B089TQGC8T",true,169.99,"USD",299.99,130,43.33,0,4.3,"https://www.amazon.com/dp/B089TQGC8T",0,false,false,false,false
5,6,101,"B08QZVSC8D",true,410,"USD",649.99,239.99,36.92,0,4.1,"https://www.amazon.com/dp/B08QZVSC8D",0,false,false,false,false
5,7,102,"B0CWB4R6CB",true,129.99,"USD",149.99,20,13.33,0,4.4,"https://www.amazon.com/dp/B0CWB4R6CB",0,false,false,false,false
5,8,103,"B0CZSB5Y84",true,129.99,"USD",249.99,120,48,0,4,"https://www.amazon.com/dp/B0CZSB5Y84",0,false,false,false,false
5,9,104,"B0B499BXWC",true,29.98,"USD",37.48,7.5,20.01,0,4,"https://www.amazon.com/dp/B0B499BXWC",0,false,false,false,false
5,10,105,"B0D3TFZY6M",true,94.99,"USD",129.99,35,26.93,0,4.5,"https://www.amazon.com/dp/B0D3TFZY6M",0,false,false,false,false
5,11,106,"B0CBVHLV75",true,239.2,"USD",299.99,60.79,20.26,0,4.6,"https://www.amazon.com/dp/B0CBVHLV75",0,false,false,false,false
5,12,107,"B0D8PH2KT7",true,97.99,"USD",139.99,42,30,0,4.5,"https://www.amazon.com/dp/B0D8PH2KT7",0,false,false,false,false
5,13,108,"B0DGFYMW4F",true,120,"USD",209.99,89.99,42.85,0,4.6,"https://www.amazon.com/dp/B0DGFYMW4F",0,false,false,false,false
5,14,109,"B07R89PJY6",true,68.28,"USD",99.99,31.71,31.71,0,4.3,"https://www.amazon.com/dp/B07R89PJY6",0,false,false,false,false
5,15,110,"B0C2H1SJSJ",false,59.99,"USD",0,0,0,0,3.9,"https://www.amazon.com/dp/B0C2H1SJSJ",0,false,false,false,false
5,16,111,"B0D8LDNF2V",true,129.99,"USD",199.99,70,35,0,4.4,"https://www.amazon.com/dp/B0D8LDNF2V",0,false,false,false,false
5,17,112,"B08R9LK9K3",true,88.88,"USD",199.99,111.11,55.56,0,4.1,"https://www.amazon.com/dp/B08R9LK9K3",0,false,false,false,false
5,18,113,"B0DFHMY943",true,34.39,"USD",42.99,8.6,20,0,4.3,"https://www.amazon.com/dp/B0DFHMY943",0,false,false,false,false
5,19,114,"B0D3V8V25K",true,84.99,"USD",149.99,65,43.34,0,4.4,"https://www.amazon.com/dp/B0D3V8V25K",0,false,false,false,false
